code,term
93991009,GNH0033_LungCancer_OpenSafelyCodelist
93992002,GNH0033_LungCancer_OpenSafelyCodelist
93993007,GNH0033_LungCancer_OpenSafelyCodelist
94002000,GNH0033_LungCancer_OpenSafelyCodelist
94049001,GNH0033_LungCancer_OpenSafelyCodelist
94067008,GNH0033_LungCancer_OpenSafelyCodelist
94075002,GNH0033_LungCancer_OpenSafelyCodelist
94078000,GNH0033_LungCancer_OpenSafelyCodelist
94080006,GNH0033_LungCancer_OpenSafelyCodelist
94102002,GNH0033_LungCancer_OpenSafelyCodelist
94103007,GNH0033_LungCancer_OpenSafelyCodelist
94104001,GNH0033_LungCancer_OpenSafelyCodelist
94118008,GNH0033_LungCancer_OpenSafelyCodelist
94129007,GNH0033_LungCancer_OpenSafelyCodelist
94132005,GNH0033_LungCancer_OpenSafelyCodelist
94139001,GNH0033_LungCancer_OpenSafelyCodelist
94140004,GNH0033_LungCancer_OpenSafelyCodelist
94142007,GNH0033_LungCancer_OpenSafelyCodelist
94144008,GNH0033_LungCancer_OpenSafelyCodelist
94155008,GNH0033_LungCancer_OpenSafelyCodelist
94158005,GNH0033_LungCancer_OpenSafelyCodelist
94166001,GNH0033_LungCancer_OpenSafelyCodelist
94170009,GNH0033_LungCancer_OpenSafelyCodelist
94184004,GNH0033_LungCancer_OpenSafelyCodelist
94228007,GNH0033_LungCancer_OpenSafelyCodelist
94229004,GNH0033_LungCancer_OpenSafelyCodelist
94230009,GNH0033_LungCancer_OpenSafelyCodelist
94231008,GNH0033_LungCancer_OpenSafelyCodelist
94232001,GNH0033_LungCancer_OpenSafelyCodelist
94233006,GNH0033_LungCancer_OpenSafelyCodelist
94238002,GNH0033_LungCancer_OpenSafelyCodelist
94272005,GNH0033_LungCancer_OpenSafelyCodelist
94284007,GNH0033_LungCancer_OpenSafelyCodelist
94288005,GNH0033_LungCancer_OpenSafelyCodelist
94296000,GNH0033_LungCancer_OpenSafelyCodelist
94310008,GNH0033_LungCancer_OpenSafelyCodelist
94318001,GNH0033_LungCancer_OpenSafelyCodelist
94329002,GNH0033_LungCancer_OpenSafelyCodelist
94332004,GNH0033_LungCancer_OpenSafelyCodelist
94333009,GNH0033_LungCancer_OpenSafelyCodelist
94334003,GNH0033_LungCancer_OpenSafelyCodelist
94358004,GNH0033_LungCancer_OpenSafelyCodelist
94359007,GNH0033_LungCancer_OpenSafelyCodelist
94366008,GNH0033_LungCancer_OpenSafelyCodelist
94367004,GNH0033_LungCancer_OpenSafelyCodelist
94368009,GNH0033_LungCancer_OpenSafelyCodelist
94369001,GNH0033_LungCancer_OpenSafelyCodelist
94370000,GNH0033_LungCancer_OpenSafelyCodelist
94372008,GNH0033_LungCancer_OpenSafelyCodelist
94373003,GNH0033_LungCancer_OpenSafelyCodelist
